order_id,payment_method,order_date,price,employee_id,is_completed
1,debit,2023-10-09T11:05:12,57.4,42,True
2,credit,2023-04-10T17:33:01,64.2,25,True
3,credit,2023-06-25T14:52:53,80.6,25,True
4,credit,2023-06-12T14:10:52,17.0,31,True
5,cash,2023-07-12T19:22:43,16.9,99,True
6,cash,2023-12-17T10:34:06,11.3,29,True
7,cash,2023-10-01T15:08:06,33.8,20,True
8,cash,2023-01-18T14:34:16,8.5,24,True
9,stu_card,2023-05-20T13:08:27,15.9,22,True
10,debit,2023-05-01T19:40:25,30.6,29,True
11,debit,2023-10-01T10:06:14,11.3,60,True
12,stu_card,2023-12-18T13:41:04,44.4,6,True
13,cash,2023-05-15T19:04:29,35.4,32,True
14,cash,2023-12-25T12:23:14,13.8,17,True
15,cash,2023-05-15T19:49:58,11.2,28,True
16,credit,2023-04-20T10:49:07,23.5,29,True
17,stu_card,2023-04-01T15:35:00,32.1,48,True
18,stu_card,2023-04-27T17:11:22,45.3,43,True
19,stu_card,2023-03-01T18:46:56,0.0,58,True
20,cash,2023-02-12T12:46:21,16.7,42,True
21,credit,2023-07-31T11:39:59,42.9,60,True
22,cash,2023-09-15T13:10:27,17.9,54,True
23,credit,2023-09-18T19:10:18,49.7,19,True
24,stu_card,2023-08-08T19:41:56,62.7,54,True
25,cash,2023-05-16T11:28:55,8.3,49,True
26,credit,2023-05-25T11:48:38,46.9,62,True
27,credit,2023-06-17T13:26:03,58.6,41,True
28,cash,2023-01-13T13:18:12,15.6,55,True
29,cash,2023-01-09T13:58:28,18.1,49,True
30,cash,2023-12-24T20:47:39,13.5,64,True
31,credit,2023-10-28T14:56:31,33.7,17,True
32,cash,2023-01-12T17:28:29,67.3,51,True
33,cash,2023-10-17T19:49:04,40.3,60,True
34,credit,2023-02-13T17:24:32,15.8,29,True
35,cash,2023-06-20T12:57:14,5.4,42,True
36,stu_card,2023-03-14T18:37:09,57.8,2,True
37,stu_card,2023-03-09T12:47:02,55.2,47,True
38,stu_card,2023-09-26T18:04:12,9.8,50,True
39,stu_card,2023-09-17T14:01:35,8.3,3,True
40,stu_card,2023-04-12T20:57:51,28.1,64,True
41,cash,2023-03-10T10:30:40,49.1,30,True
42,debit,2023-11-03T14:57:21,76.0,17,True
43,credit,2023-06-26T16:41:03,47.4,18,True
44,debit,2023-08-05T14:49:52,46.6,48,True
45,debit,2023-08-02T12:10:03,66.0,4,True
46,credit,2023-11-10T17:27:08,18.2,29,True
47,stu_card,2023-06-17T11:47:12,12.8,35,True
48,debit,2023-07-11T17:02:20,21.9,36,True
49,debit,2023-11-16T16:02:43,43.4,58,True
50,debit,2023-09-29T18:17:53,22.4,51,True
51,credit,2023-07-05T14:53:52,31.7,55,True
52,debit,2023-10-17T12:19:49,21.0,32,True
53,credit,2023-03-17T15:45:12,31.9,26,True
54,debit,2023-11-23T12:02:31,29.4,54,True
55,debit,2023-08-04T16:34:03,40.7,7,True
56,credit,2023-08-10T14:55:21,31.0,28,True
57,stu_card,2023-11-11T14:30:55,11.3,38,True
58,credit,2023-05-30T17:54:57,70.1,19,True
59,credit,2023-03-23T20:13:03,67.0,54,True
60,debit,2023-07-09T20:57:02,22.7,12,True
61,stu_card,2023-03-11T10:50:16,56.4,64,True
62,credit,2023-06-12T18:31:00,79.2,35,True
63,credit,2023-06-27T11:04:15,80.1,12,True
64,stu_card,2023-05-29T15:14:12,65.9,99,True
65,cash,2023-04-05T18:18:06,48.3,34,True
66,stu_card,2023-12-12T19:29:54,64.7,10,True
67,stu_card,2023-05-21T12:29:19,57.2,51,True
68,credit,2023-07-17T13:30:13,8.3,56,True
69,cash,2023-06-05T17:42:54,44.5,29,True
70,cash,2023-01-20T13:47:49,40.5,24,True
71,debit,2023-12-02T16:48:22,35.0,46,True
72,cash,2023-06-16T19:48:38,38.1,43,True
73,credit,2023-05-06T14:16:36,3.2,53,True
74,stu_card,2023-08-06T11:06:30,53.5,45,True
75,cash,2023-10-19T10:53:40,11.2,52,True
76,cash,2023-06-25T18:18:02,56.7,54,True
77,debit,2023-05-18T14:56:34,39.5,16,True
78,stu_card,2023-05-01T18:33:23,74.5,42,True
79,stu_card,2023-08-17T18:41:56,11.2,42,True
80,debit,2023-09-28T20:29:07,0.0,47,True
81,credit,2023-05-17T15:56:03,8.4,8,True
82,stu_card,2023-09-25T15:48:58,12.8,46,True
83,credit,2023-11-19T15:26:44,70.1,55,True
84,stu_card,2023-01-28T12:05:25,68.7,31,True
85,credit,2023-06-05T15:28:34,78.2,60,True
